data file for July 2024 field
      0.0   5.950  15.084
      0.38   5.950  15.084
      0.62   5.079  16.741
      0.88   4.967  19.585
      1.12   4.951  21.931
      1.38   5.018  22.693
      1.62   5.087  23.077
      1.88   5.141  23.223
      2.12   5.179  23.340
      2.38   5.224  23.577
      2.62   5.275  23.840
      2.88   5.306  24.018
      3.12   5.343  24.126
      3.38   5.437  24.283
      3.62   5.548  24.411
      3.88   5.587  24.429
      4.12   5.631  24.504
      4.38   5.704  24.611
      4.62   5.740  24.653
      4.88   5.758  24.666
      5.12   5.765  24.667
      5.38   5.763  24.657
      5.62   5.752  24.652
      5.88   5.753  24.661
      6.12   5.756  24.662
      6.38   5.764  24.713
      6.62   5.840  24.856
      6.88   5.888  24.885
      7.12   5.968  25.045
      7.38   6.033  25.099
      7.62   6.090  25.293
      7.88   6.252  25.568
      8.12   6.316  25.638
      8.38   6.338  25.681
      8.62   6.368  25.771
      8.88   6.419  25.840
      9.12   6.424  25.846
      9.38   6.422  25.839
      9.62   6.421  25.843
      9.88   6.418  25.844
     10.12   6.416  25.846
     10.38   6.419  25.845
     10.62   6.416  25.844
     10.88   6.416  25.843
     11.12   6.415  25.840
     11.38   6.415  25.838
     11.62   6.416  25.853
     11.88   6.423  25.890
     12.12   6.419  25.878
     12.38   6.427  25.883
     12.62   6.434  25.914
     12.88   6.475  26.022
     13.12   6.491  26.030
     13.38   6.493  26.033
     13.62   6.493  26.032
     13.88   6.492  26.033
     14.12   6.493  26.031
     14.38   6.491  26.029
     14.62   6.490  26.032
     14.88   6.491  26.042
     15.12   6.496  26.051
     15.38   6.497  26.053
     15.62   6.497  26.054
     15.88   6.495  26.051
     16.12   6.495  26.048
     16.38   6.494  26.037
     16.62   6.493  26.033
     16.88   6.492  26.031
     17.12   6.492  26.031
     17.38   6.492  26.030
     17.62   6.491  26.031
     17.88   6.490  26.032
     18.12   6.490  26.039
     18.38   6.490  26.049
     18.62   6.490  26.045
     18.88   6.491  26.040
     19.12   6.491  26.037
     19.38   6.490  26.051
     19.62   6.490  26.074
     19.88   6.490  26.068
     20.12   6.491  26.081
     20.38   6.493  26.086
     20.62   6.494  26.089
     20.88   6.493  26.094
     21.12   6.494  26.095
     21.38   6.497  26.114
     21.62   6.502  26.130
     21.88   6.504  26.142
     22.12   6.504  26.137
     22.38   6.502  26.149
     22.62   6.501  26.169
     22.88   6.500  26.174
     23.12   6.498  26.177
     23.38   6.499  26.179
     23.62   6.498  26.183
     23.88   6.497  26.190
     24.12   6.492  26.207
     24.38   6.483  26.223
     24.62   6.481  26.221
     24.88   6.481  26.223
     25.12   6.481  26.225
     25.38   6.481  26.227
     25.62   6.480  26.237
     25.88   6.485  26.283
     26.12   6.514  26.345
     26.38   6.538  26.380
     26.62   6.543  26.386
     26.88   6.544  26.386
     27.12   6.545  26.389
     27.38   6.545  26.391
     27.62   6.551  26.411
     27.88   6.565  26.420
     28.12   6.574  26.437
     28.38   6.587  26.472
     28.62   6.596  26.488
     28.88   6.597  26.488
     29.12   6.596  26.497
     29.38   6.594  26.500
     29.62   6.593  26.497
     29.88   6.594  26.509
     30.12   6.595  26.504
     30.38   6.592  26.496
     30.62   6.589  26.478
     30.88   6.588  26.478
     31.12   6.589  26.476
     31.38   6.590  26.482
     31.62   6.590  26.481
     31.88   6.593  26.499
     32.12   6.596  26.524
     32.38   6.597  26.527
     32.62   6.598  26.530
     32.88   6.600  26.535
     33.12   6.600  26.534
     33.38   6.603  26.558
     33.62   6.613  26.576
     33.88   6.621  26.600
     34.12   6.635  26.616
     34.38   6.643  26.628
     34.62   6.650  26.640
     34.88   6.653  26.646
     35.12   6.657  26.660
     35.38   6.659  26.683
     35.62   6.650  26.722
     35.88   6.634  26.746
     36.12   6.613  26.764
     36.38   6.586  26.779
     36.62   6.569  26.793
     36.88   6.550  26.809
     37.12   6.542  26.818
     37.38   6.547  26.828
     37.62   6.555  26.832
     37.88   6.579  26.856
     38.12   6.612  26.868
     38.38   6.624  26.873
     38.62   6.630  26.881
     38.88   6.637  26.893
     39.12   6.644  26.900
     39.38   6.645  26.897
     39.62   6.645  26.908
     39.88   6.662  26.955
     40.12   6.681  26.970
     40.38   6.695  26.980
     40.62   6.726  26.989
     40.88   6.735  26.987
     41.12   6.733  26.994
     41.38   6.730  27.013
     41.62   6.730  27.021
     41.88   6.730  27.022
     42.12   6.732  27.024
     42.38   6.731  27.023
     42.62   6.730  27.022
     42.88   6.731  27.023
     43.12   6.732  27.028
     43.38   6.732  27.032
     43.62   6.730  27.035
     43.88   6.727  27.038
     44.12   6.716  27.049
     44.38   6.711  27.056
     44.62   6.695  27.067
     44.88   6.683  27.075
     45.12   6.677  27.074
     45.38   6.668  27.079
     45.62   6.654  27.079
     45.88   6.617  27.090
     46.12   6.600  27.096
     46.38   6.576  27.104
     46.62   6.569  27.105
     46.88   6.563  27.105
     47.12   6.558  27.105
     47.38   6.549  27.106
     47.62   6.529  27.111
     47.88   6.518  27.116
     48.12   6.512  27.126
     48.38   6.510  27.132
     48.62   6.525  27.145
     48.88   6.547  27.153
     49.12   6.567  27.161
     49.38   6.599  27.181
     49.62   6.656  27.206
     49.88   6.691  27.213
     50.12   6.715  27.226
     50.38   6.735  27.230
     50.62   6.753  27.243
     50.88   6.794  27.268
     51.12   6.828  27.277
     51.38   6.849  27.286
     51.62   6.853  27.299
     51.88   6.844  27.310
     52.12   6.828  27.318
     52.38   6.864  27.348
     52.62   6.906  27.351
     52.88   6.911  27.351
     53.12   6.912  27.351
     53.38   6.912  27.351
